"Mobile cellular subscriptions, total number",1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,"tablets_sell_2009","tablets_sell_2010","tablets_sell_2011","GDP_2009","GDP_2010","GDP_2011","population2011"
Greenland,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,438,964,2052,4122,6481,8899,13521,15114,15882,19924,29749,39033,46480,53900,66400,55816,53468,57349,58742,189,444,65,1095471068,1117156854,1167082381,57304
Grenada,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,147,181,282,350,400,570,976,1410,2012,4300,6414,7553,42293,43313,46858,46193,51381,60022,114424,121946,,297,105,0,517390197,579680175,568497398,104097
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,458057
Guam,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,867,1301,1907,4098,4965,5803,5673,12837,20000,27200,32600,70500,79800,98000,,,,,,,,0,0,0,0,0,0,177707
Guatemala,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,1221,2141,2990,10462,29999,43421,64194,111445,337800,856831,1146441,1577085,2034776,3168256,4510067,7178745,11897563,14948640,17307459,18067970,20715677,1915,311129,325201,21685384121,22392362924,23597025901,14033623
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0
Guinea,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,812,950,950,2868,21567,25182,42112,55670,90772,111500,154900,189000,,2000000,2750000,3489000,4000000,4500000,15976,32703,126078,3584767429,4938241628,5061531939,9761217
Guinea-Bissau,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,39451,98825,157330,296223,500156,560345,,401880,4434,0,10157,203714836,210770185,215273017,1484120
Guyana,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,841,1029,1251,1243,1200,1400,1454,2815,39830,75320,79400,137955,171656,281368,400000,538774,447769,513533,555397,518757,525,8128,9649,752970679,738235712,776104320,753013
Haiti,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,25000,55000,91500,140000,320000,400000,500200,1200000,2500000,3200000,3648000,4000000,4200000,26110,13829,78639,3502448987,3565485817,3645815936,9864241
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,455
Honduras,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2311,14427,34896,78588,155271,237629,326508,379362,707201,1281462,2240756,4184834,6210711,8390755,9505071,8062229,13819,170533,146303,8410861673,8919792791,9505547333,7449923
Hong Kong China,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,1000,4400,10000,28060,51280,89193,133912,189664,233324,290843,484823,798373,1361861,2229862,3174369,4275048,5447346,5776360,6395725,7349202,8213959,8544255,9444140,10751622,11580149,12597171,13793729,14930948,45826,213055,268004,193389645331,207085699498,221622650577,6987976
